Factor,Level,N,Age_Mean,Age_SD,Age_N,Sex_Mean,Sex_SD,Sex_N,CigsPerDay_Mean,CigsPerDay_SD,CigsPerDay_N,MedBurden_Mean,MedBurden_SD,MedBurden_N,MADRS_Mean,MADRS_SD,MADRS_N,YMRS_Mean,YMRS_SD,YMRS_N,GAF_Mean,GAF_SD,GAF_N
ClinicalStage,HC,16,35.125,15.0194318578744,16,0.5625,0.51234753829798,16,0.9375,2.71952814534679,16,0,0,14,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0
ClinicalStage,Siblings,14,48.5,17.5882390774675,14,0.571428571428571,0.513552591013095,14,2.64285714285714,3.69213598501845,14,0,0,14,NaN,NaN,0,NaN,NaN,0,NaN,NaN,0
ClinicalStage,BD_Euthymic,19,51.2105263157895,10.9116601617435,19,0.578947368421053,0.507257273501788,19,2.26315789473684,6.01703235512101,19,1.94736842105263,0.970319776071918,19,2.57894736842105,2.00875277704805,19,0.368421052631579,0.683985568056769,19,88.6842105263158,10.4989556707055,19
ClinicalStage,BD_Depressed,21,46.0952380952381,13.9280463881506,21,0.428571428571429,0.50709255283711,21,3.33333333333333,5.98609499868932,21,2.38095238095238,1.07126982951031,21,17.2857142857143,7.3833790173799,21,1.61904761904762,2.01186954040739,21,60.3333333333333,17.3992336996011,21
