Channel,X,Y,Z,CFAWeight,EarlyOrthWeight,LateOrthWeight,RLocked100to200OrthWeight,PooledCFA_Template_uV,PooledEarly_Template_uV,PooledLate_Template_uV,PooledRLocked100to200_Template_uV,HC_EarlyMean_uV,HC_RLocked100to200Mean_uV,HC_CFA_Mean_uV
Fp1,83.9171,29.4367,-6.99,-0.0152625479144754,-0.025450056600755,-0.0276380090884632,0.00394159798319063,-0.575576701728554,-0.8608109498775,-0.803233113836392,-0.143527693855426,-1.23738868358292,-0.404192600541596,-0.405187309758117
Fz,58.512,-0.312200000000008,66.462,-0.0115272997524184,-0.0119268423614536,-0.0070517545139894,0.0167644971163323,-0.434714125617302,-0.54146794764276,-0.327593658060632,-0.206262446073298,-0.604700068990143,-0.312737336347155,-0.516941428244548
F3,53.1112,50.2438,42.192,-0.00864280830860447,-0.0201064805505098,-0.0215612269579534,0.00124997922070792,-0.32593503573677,-0.572294097034133,-0.57417959982254,-0.0743058584938282,-0.588473026730727,-0.200999523598351,-0.443813071687681
FT9,14.5673,84.0759,-50.429,-0.0020811316611578,0.00794819921940224,-0.015444438877667,-0.0267589398268051,-0.0784830228939692,0.052731258471031,-0.345251370940082,0.174172639105845,0.0242774928110835,0.0749986341017777,-0.217944670650385
FC5,18.6433,77.2149,24.46,-0.00585295415040638,-0.0108357272979898,-0.0208054232117914,-0.00675746696508172,-0.220724879236204,-0.346137959095025,-0.514092263149747,0.00365080835666302,0.0518286619097585,0.157767051552781,-0.244868414565754
FC1,26.0111,34.0619,79.987,-0.0084634887834605,0.000999826267775454,0.00642122343495214,0.0305607686236733,-0.319172590736352,-0.252201729951347,-0.00635453565821627,-0.280989347680753,-0.219510516830427,-0.399678613786113,-0.392779716682724
C3,-11.6317,65.3581,64.358,-0.00317292161383479,0.0121905896878432,0.00627928191408986,0.00708919218891545,-0.119656283313103,0.0814772101575118,0.0757902707480227,-0.0743392793850665,0.126513727043351,-0.0573015617360899,-0.0708352658612315
T7,-16.0187,84.1611,-9.346,0.0106438151397732,0.00783098479465647,-0.0162839584843388,-0.0380155910711491,0.401396414693563,0.452567878320963,-0.157732172404107,0.350408949671629,0.583861917186121,0.276732402885443,0.318057215206393
TP9,-46.5147,85.6192,-45.707,0.0494454224652212,0.00332858076211314,-0.0221425239158179,-0.0447417772864174,1.8646711766333,1.61002132448103,0.347464399964093,0.691912758582538,1.63793837420577,0.707536168108595,1.58657557410776
CP5,-46.5507,79.5922,30.949,0.0151548311630941,0.0119785282620612,-0.00328759699967806,-0.0374535293984167,0.571514519396458,0.656718134517815,0.177138582986646,0.380571999397594,0.80805220854002,0.401133731811697,0.380834756904138
CP1,-47.2919,35.5131,91.315,0.00172610913078447,0.0324295994491621,0.025262663821071,0.00549411346951991,0.0650945180246216,0.537596905022983,0.537769009842977,-0.0259277348753558,0.708405165650039,0.13410906713651,0.0965633906830059
Pz,-81.115,-0.324699999999985,82.615,0.00292353092921731,0.0303866746296085,0.0273567825383948,0.0235232218520029,0.11025133543033,0.544951312673792,0.599288171842046,-0.144828556003462,0.961057753558737,0.296798812818192,0.274996455636437
P3,-78.7878,53.0073,55.94,0.0123914726519589,0.0218989350826725,0.0156720731387176,0.00622054965851747,0.467303558916903,0.717300353675772,0.51551692391572,0.0496625456691198,0.811676994607001,0.144631277231978,0.384339587552864
P7,-73.4526999999999,72.4343,-2.487,0.0407008764062395,-0.0113705395220547,-0.0152176051205626,-0.0192163186949024,1.53489943688541,1.11507319560529,0.346762961589734,0.444535003507812,1.07390565853795,0.298067479138068,1.19724111280417
O1,-112.449,29.4134,8.839,0.0510910098588349,-0.0240649780095309,-0.0131184540425049,0.0112762018182022,1.92672908267427,1.25385570279441,0.556095099921076,0.306768870926857,1.41738950344426,0.462871630190804,1.55364495111374
Oz,-114.892,-0.107599999999992,14.657,0.0453846769995396,-0.0173541496046823,-0.00110317523085731,0.00814539733771207,1.71153354228855,1.17374645562162,0.706982996892304,0.285788535297877,1.33586959551889,0.383623597970965,1.44621920103704
O2,-112.156,-29.8426,8.8,0.0297414740492039,-0.016254023885583,0.00302085580273213,0.018161144762617,1.12160169020996,0.696456470279509,0.538884049083806,0.0962660558713493,0.764309369912824,0.166678653211031,0.933970129281324
P4,-78.5602,-55.6667,56.561,0.00168380535419822,0.0214774252905872,0.0187985682124533,-0.00623418626338706,0.0634991704892942,0.373100764302755,0.406584244720699,0.0569967043811063,0.904924559584925,0.594094189338863,0.235591651254479
P8,-73.0683,-73.0557,-2.54,0.000859533053159189,-0.00573186620386545,0.0022016058231771,-0.00651332266812334,0.0324144567824634,-0.0582652893040315,0.0582599398282683,0.0527374694626318,-0.00408656816925776,-0.0979134227118715,-0.0491502327517795
TP10,-47.0353,-86.1618,-45.869,-0.0244741718390529,0.000983152345528913,0.0100183739816515,-0.0148575320197716,-0.922962744071041,-0.75772654342353,-0.190995572494827,-0.0798361279183798,-1.18499496695987,-0.289842781728012,-0.651265354857988
CP6,-46.1013,-83.3218,31.206,-0.00948463253538651,0.0091584560345757,0.00657558878807724,-0.00536032634797892,-0.357681662486217,-0.162883716786954,-0.0196460787806984,-0.033760825564325,-0.277343602635406,-0.0385170460586159,-0.290613000379349
CP2,-47.0731,-38.3838,90.695,-0.00524417728553174,0.0230620911628603,0.0297161489347926,0.0313589032128928,-0.197766865807734,0.178070324030715,0.515680626966228,-0.262281248202545,0.389430514208545,0.094575808178761,0.151472025809168
Cz,-9.16700000000002,-0.4009,100.244,-0.0060292158687316,0.0197310871710875,0.028627647660828,0.0282076484704647,-0.227372009128482,0.103671564965776,0.481090394512726,-0.245857827387415,0.00475481951267142,-0.283459102679596,-0.275012829462172
C4,-10.9003,-67.1179,63.58,-0.0136091643564862,0.00656064178296652,0.00960227713998544,0.0117227920762573,-0.513224789037944,-0.331749789394889,-0.0248138897004215,-0.186239187522479,-0.287684144987814,-0.119663339217063,-0.46532512694786
T8,-15.0203,-85.0799,-9.49,-0.0240331857932649,0.00277313454948393,0.00301235723362493,-0.0252457241315331,-0.906332408483218,-0.717143159823107,-0.325355647312443,-0.00276452098890761,-1.10695677004694,-0.220214116323231,-0.919719612320684
FT10,14.3647,-84.1131,-50.538,-0.0441052596279295,0.0165392675118864,0.0114063343664093,-0.0221517835945047,-1.66328453203076,-1.14550948699699,-0.478412223938948,-0.176688160123157,-1.61206518469381,-0.594246669856661,-1.63186576009337
FC6,19.9357,-79.5341,24.438,-0.0221591281924911,-0.0168551609715022,-0.0128620011060669,-0.0206987482955352,-0.835658501430012,-0.950414787172361,-0.615733531823462,-0.0208495929837625,-1.30987995712086,-0.359867318316431,-0.676042276418235
FC2,26.4379,-34.7841,78.808,-0.0112421182909363,0.0112634208641417,0.0157242810215871,0.0105384258064614,-0.423959446522189,-0.18698877011366,0.136819001016631,-0.159912175232043,-0.0667967772941474,0.0560566215127195,-0.40949513877736
F4,54.3048,-51.8362,40.814,-0.0183543077395114,-0.0190118664803907,-0.0102435314354048,0.00474794449931143,-0.692172235619939,-0.862469315383801,-0.501731635617767,-0.172658342953172,-1.15996042860505,-0.347483982448462,-0.620375305840305
Fp2,84.8959,-29.8723,-7.08,-0.0110099486537421,-0.0302520400803147,-0.0313720463205021,-0.0213970158515044,-0.415203933696506,-0.798142447033416,-0.810288293572363,0.0685158206738957,-1.24843584112746,-0.247469409993627,0.0281540709134181
AF7,68.5722,54.8397,-10.59,-0.0169507806579199,-0.0156541729580894,-0.0273036543909814,-0.010602820605592,-0.639242836614221,-0.768154250791637,-0.823609808772146,-0.053076260825528,-1.02632322585681,-0.427019454920017,-0.726030208743042
AF3,76.8371,33.7007,21.227,-0.0138014546933834,-0.0191420528938116,-0.0186484785689304,0.0088341725181013,-0.520476385462457,-0.720726637269671,-0.598264246598301,-0.167192254454201,-0.744636142103338,-0.0526817695052072,-0.430405657983533
AFz,80.771,-0.231300000000006,35.417,-0.0106394803273203,-0.0266307621878972,-0.0214002018934808,0.00339752946878291,-0.401232941525894,-0.732502604215765,-0.603011783060982,-0.10466526117757,-0.848352042611,-0.36263003167925,-0.19435991427496
