Channel,PooledWeight,BootstrapMeanWeight,BootstrapSDWeight,BootstrapCI95Low,BootstrapCI95High
Fp1,0.00394159798319063,0.0039708741284199,0.0113034926192267,-0.0161711409321177,0.0274573110034584
Fz,0.0167644971163323,0.0149861271100411,0.00787647706118788,-0.000133508838253146,0.0300408762347017
F3,0.00124997922070792,0.00164429520084451,0.0121815646317577,-0.019836271136553,0.0271678739209255
FT9,-0.0267589398268051,-0.0228661692071551,0.0112947835154663,-0.0432570884511473,0.0011097492473712
FC5,-0.00675746696508172,-0.00513536285140928,0.0105078190016934,-0.0237185050837441,0.0172740285620885
FC1,0.0305607686236733,0.0266503921959933,0.00915166095454235,0.00996738671037778,0.0446596854052094
C3,0.00708919218891545,0.00655738071442428,0.00888771748715297,-0.010354016873366,0.0245090759243427
T7,-0.0380155910711491,-0.031704674797761,0.0100562358660063,-0.0488312502665643,-0.00943256094419129
TP9,-0.0447417772864174,-0.0363135275210277,0.01365566538989,-0.0587904877784667,-0.00713563349568394
CP5,-0.0374535293984167,-0.0319675749390979,0.0114438283275914,-0.0563558487271307,-0.0106330222444114
CP1,0.00549411346951991,0.00469943120551914,0.00946184944798582,-0.0147439758873619,0.0225076781404488
Pz,0.0235232218520029,0.0191691495604081,0.0113334963941497,-0.00692479799894972,0.0373387254065665
P3,0.00622054965851747,0.0052544395956371,0.007375718913639,-0.0095441133484036,0.0192521947516996
P7,-0.0192163186949024,-0.0148040070345662,0.00983845913317688,-0.0314360750048481,0.00606221935501219
O1,0.0112762018182022,0.0106003409738663,0.0102807968724254,-0.00786608067082057,0.032491453451149
Oz,0.00814539733771207,0.00623329535180367,0.00998804994013988,-0.0155698054751094,0.0229885354520444
O2,0.018161144762617,0.015234710893389,0.00796752898867516,-0.00185345246901054,0.0299600813477974
P4,-0.00623418626338706,-0.00710997607558459,0.0134889616440241,-0.0365214750691724,0.0150804956205529
P8,-0.00651332266812334,-0.00503990029266691,0.0108247162348061,-0.025229443873428,0.0167145214961634
TP10,-0.0148575320197716,-0.013135794429262,0.0144728763901115,-0.0408957342237728,0.0181335025017981
CP6,-0.00536032634797892,-0.00594746665002579,0.0114794198237842,-0.0288629558815733,0.0143460740156618
CP2,0.0313589032128928,0.0272397852342772,0.00847830121206136,0.0110983647690172,0.044265472711399
Cz,0.0282076484704647,0.0237182666304608,0.00803689327717366,0.00669120364667079,0.0378658467262112
C4,0.0117227920762573,0.00932837916249728,0.00655477635219932,-0.00482143242034678,0.0206287296556637
T8,-0.0252457241315331,-0.0231473760300318,0.0107909367265736,-0.0444492271591304,-0.00284832151377221
FT10,-0.0221517835945047,-0.019627774009599,0.0108616096267138,-0.0400789023952771,0.0028460510923921
FC6,-0.0206987482955352,-0.018275888620543,0.011679192847603,-0.0426655451555359,0.00371554549292317
FC2,0.0105384258064614,0.00858933264407763,0.0125534708820357,-0.0200936755402393,0.0293143912088451
F4,0.00474794449931143,0.00525424419085996,0.00913707050077594,-0.0106702116659842,0.0239144023236237
Fp2,-0.0213970158515044,-0.0178730357060199,0.0149118904884589,-0.0465975851036871,0.0109460860864885
AF7,-0.010602820605592,-0.00899194477713783,0.0121260363669626,-0.0320284325397078,0.0153586648271062
AF3,0.0088341725181013,0.00791919065235488,0.0097223062389966,-0.0112829938448601,0.0275801559848834
AFz,0.00339752946878291,0.00413439146555324,0.0122893324150532,-0.0174042952329887,0.0284989280310028
F5,-0.00528662861812168,-0.00353094642381069,0.0112804472984999,-0.0236545018066508,0.0202469007695816
FT7,-0.0187723826584319,-0.0164449380869962,0.0105133309935947,-0.0389511612823108,0.00251880419076744
FC3,-0.0132849426625568,-0.0110847582470995,0.0101281090109828,-0.0320571505472373,0.00768030444646788
C1,0.0248446386932464,0.0217791160646414,0.00783583738987752,0.00766147250087627,0.0377948651182197
C5,-0.0279147664956165,-0.022925105048027,0.0104244821801306,-0.0407452493538016,-0.000861516212606507
TP7,-0.0302979435760826,-0.0247903231667871,0.00911878565035889,-0.0404381241153285,-0.00413325586848294
CP3,-0.0114761122532598,-0.00960798224177708,0.00843917255068282,-0.0265064502131612,0.00680928476240918
P1,0.0124350474394097,0.00942660742904141,0.0116699511210396,-0.0157467965521581,0.0288653991547176
P5,-0.0199769682334937,-0.0169246933833629,0.00975241229710997,-0.0365005048823946,0.00268284009141131
PO7,-0.00297229653392477,-0.00261427735503694,0.00837325687946196,-0.018479170878451,0.0138199823084521
PO3,0.0132834762505617,0.0101758334099229,0.0139411943248344,-0.0193203501790509,0.0345585157951714
POz,0.00496486608990988,0.00285686326608191,0.0121754725120304,-0.0216860616580349,0.0244245786502383
PO4,0.0120200707201849,0.00919112178026556,0.0106385392505856,-0.0146087671783119,0.026729446989562
PO8,0.0323844020054741,0.0271413658339033,0.0109579291804821,0.00362632068598407,0.0466800379598201
P6,0.00322485318596724,0.00145543902005895,0.010868830154115,-0.0224638881352676,0.0200307555213051
P2,0.0291009107140655,0.0238659226138653,0.0117367814338717,-0.00324301629994123,0.0428227712956792
CPz,0.0392559212850134,0.0328546382459544,0.0094320419931714,0.0119047478561429,0.0497860989635482
CP4,0.0127803906873686,0.0115807704973333,0.0117531488919504,-0.0101512699936007,0.035368238323798
TP8,-0.00951012096972412,-0.00970821663300015,0.0142786911326403,-0.0395124863162243,0.0159982980174922
C6,0.0123167474749374,0.0106109395388302,0.00738540335774377,-0.00391779941239184,0.0256599136813229
C2,0.00531779190864436,0.00416927390293646,0.0102953704870684,-0.0174410723993859,0.0236181076299145
FC4,0.0250661603534298,0.0210559628582314,0.00869756894469378,0.00417641405200195,0.0374756846142997
