AnalysisTier,Family,Endpoint,EndpointLabel,Predictor,Contrast,ContrastLabel,QCSensitivityRule,ModelFormula,CovariatesIncluded,N,NExcluded,Estimate,SE,T,ParametricP,PermutationP,CI95_Low,CI95_High,HC3_SE,HC3_T,HC3_P,HC3_CI95_Low,HC3_CI95_High,DF,R2,NPermutations,RandomSeed,HolmP,HolmReject,FDR_BH_Q,Status
ExploratoryBDOnly,BDClinical,RLocked100to200FieldScore_LOSO_uV,BD-only association with primary 100-200 ms distributed field score adjusted for BD mood state,MADRS,MADRS,,,RLocked100to200FieldScore_LOSO_uV ~ MADRS + Age + Sex + BDMoodState_Depressed,Age|Sex|BDMoodState_Depressed,40,NaN,-0.00459809686857832,0.0070842117540665,-0.649062595558201,0.5205346166228,0.518764812351876,-0.018979811315913,0.00978361757875635,0.0119265453376918,-0.385534682373346,0.7021746650655,-0.0288102711152636,0.0196140773781069,35,0.25901789616356,100000,414,NaN,0,0.518764812351876,OK
ExploratoryBDOnly,BDClinical,RLocked100to200FieldScore_LOSO_uV,BD-only association with primary 100-200 ms distributed field score,YMRS,YMRS,,,RLocked100to200FieldScore_LOSO_uV ~ YMRS + Age + Sex,Age|Sex,40,NaN,-0.0384423903165948,0.0246555647658099,-1.55917703292294,0.127703349576434,0.128048719512805,-0.0884461933089189,0.0115614126757292,0.0230366191575705,-1.66875139332073,0.103842372141247,-0.0851628194329348,0.00827803879974518,36,0.175042740780036,100000,415,NaN,0,0.512194878051219,OK
ExploratoryBDOnly,BDClinical,RLocked100to200FieldScore_LOSO_uV,BD-only association with primary 100-200 ms distributed field score adjusted for BD mood state,GAF,GAF,,,RLocked100to200FieldScore_LOSO_uV ~ GAF + Age + Sex + BDMoodState_Depressed,Age|Sex|BDMoodState_Depressed,40,NaN,0.00228653029107345,0.00279645759157252,0.817652410665623,0.419087336844319,0.41659583404166,-0.00339058043659378,0.00796364101874068,0.00280260139128524,0.81585997144777,0.420098192750375,-0.00340305301310014,0.00797611359524705,35,0.264154774353659,100000,416,NaN,0,0.518764812351876,OK
ExploratoryBDOnly,BDClinical,RLocked100to200FieldScore_LOSO_uV,BD-only association with primary 100-200 ms distributed field score,MedBurden,MedBurden,,,RLocked100to200FieldScore_LOSO_uV ~ MedBurden + Age + Sex,Age|Sex,40,NaN,-0.033564523523607,0.0437287702001724,-0.767561570333726,0.447753031350163,0.450545494545055,-0.122250580036829,0.0551215329896153,0.0450284083695667,-0.745407726787257,0.460864643839529,-0.124886368411623,0.057757321364409,36,0.133514743934955,100000,417,NaN,0,0.518764812351876,OK
