AnalysisTier,Family,Endpoint,EndpointLabel,Predictor,Contrast,ContrastLabel,QCSensitivityRule,ModelFormula,CovariatesIncluded,N,NExcluded,Estimate,SE,T,ParametricP,PermutationP,CI95_Low,CI95_High,HC3_SE,HC3_T,HC3_P,HC3_CI95_Low,HC3_CI95_High,DF,R2,NPermutations,RandomSeed,HolmP,HolmReject,FDR_BH_Q,Status
PseudoEventControl,PseudoEventClinicalStage,PseudoRLocked100to200FieldScore_RealTemplateLOSO_uV,"Pseudo-event 100-200 ms field score projected onto the real R-locked LOSO template, four-level ClinicalStage omnibus",ClinicalStage,ClinicalStageOmnibus,,,PseudoRLocked100to200FieldScore_RealTemplateLOSO_uV ~ ClinicalStage + Age + Sex,Age|Sex,70,NaN,NaN,NaN,0.845228062434659,0.474211324020769,0.476005239947601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,0.090396596268811,100000,373,NaN,0,NaN,OK
PseudoEventControl,PseudoEventClinicalStagePlannedContrasts,PseudoRLocked100to200FieldScore_RealTemplateLOSO_uV,"Pseudo-event 100-200 ms field score projected onto the real R-locked LOSO template, planned ClinicalStage contrast",ClinicalStageContrast,BD_Depressed_vs_HC,BD Depressed - HC,,PseudoRLocked100to200FieldScore_RealTemplateLOSO_uV ~ ClinicalStage + Age + Sex,Age|Sex,70,NaN,0.117118063985615,0.0870402297456779,1.3455624408141,0.183191559897679,0.183638163618364,-0.056764784095952,0.291000912067181,0.0755229174575282,1.55076191344804,0.125890080004828,-0.0337563077998777,0.267992435771107,64,0.090396596268811,100000,384,0.918190818091819,0,NaN,OK
PseudoEventControl,PseudoEventClinicalStagePlannedContrasts,PseudoRLocked100to200FieldScore_RealTemplateLOSO_uV,"Pseudo-event 100-200 ms field score projected onto the real R-locked LOSO template, planned ClinicalStage contrast",ClinicalStageContrast,BD_Depressed_vs_BD_Euthymic,BD Depressed - BD Euthymic,,PseudoRLocked100to200FieldScore_RealTemplateLOSO_uV ~ ClinicalStage + Age + Sex,Age|Sex,70,NaN,0.106203802166298,0.0811402903603907,1.30889107858237,0.195251683302631,0.194858051419486,-0.0558925620466032,0.2683001663792,0.0920190229479526,1.1541505089265,0.252730126163819,-0.0776253287381678,0.290032933070764,64,0.090396596268811,100000,385,0.918190818091819,0,NaN,OK
PseudoEventControl,PseudoEventClinicalStagePlannedContrasts,PseudoRLocked100to200FieldScore_RealTemplateLOSO_uV,"Pseudo-event 100-200 ms field score projected onto the real R-locked LOSO template, planned ClinicalStage contrast",ClinicalStageContrast,BD_Depressed_vs_Siblings,BD Depressed - Siblings,,PseudoRLocked100to200FieldScore_RealTemplateLOSO_uV ~ ClinicalStage + Age + Sex,Age|Sex,70,NaN,0.0599952337668563,0.0875027090971943,0.685638586346123,0.495417222929647,0.49420505794942,-0.114811523029744,0.234801990563457,0.0908991529437399,0.660019723219963,0.511609588286712,-0.121596699621213,0.241587167154926,64,0.090396596268811,100000,386,1,0,NaN,OK
PseudoEventControl,PseudoEventClinicalStagePlannedContrasts,PseudoRLocked100to200FieldScore_RealTemplateLOSO_uV,"Pseudo-event 100-200 ms field score projected onto the real R-locked LOSO template, planned ClinicalStage contrast",ClinicalStageContrast,Siblings_vs_HC,Siblings - HC,,PseudoRLocked100to200FieldScore_RealTemplateLOSO_uV ~ ClinicalStage + Age + Sex,Age|Sex,70,NaN,0.0571228302187584,0.0966622883283958,0.590952595956471,0.556633525743069,0.555034449655503,-0.135982289629086,0.250227950066603,0.0804088838659255,0.710404466178208,0.480034111357602,-0.103512381550789,0.217758041988306,64,0.090396596268811,100000,387,1,0,NaN,OK
PseudoEventControl,PseudoEventClinicalStagePlannedContrasts,PseudoRLocked100to200FieldScore_RealTemplateLOSO_uV,"Pseudo-event 100-200 ms field score projected onto the real R-locked LOSO template, planned ClinicalStage contrast",ClinicalStageContrast,BD_Euthymic_vs_HC,BD Euthymic - HC,,PseudoRLocked100to200FieldScore_RealTemplateLOSO_uV ~ ClinicalStage + Age + Sex,Age|Sex,70,NaN,0.0109142618193163,0.0924061063112717,0.11811191116041,0.906348905628531,0.906480935190648,-0.173688156998746,0.195516680637378,0.0860403491786117,0.126850505879042,0.899456420993078,-0.160971095202646,0.182799618841279,64,0.090396596268811,100000,388,1,0,NaN,OK
